Year,Day,Part,PC (ms),RP2040 (ms),RP2350 (ms),RP2350 @ 300MHz (ms),,,,,
2017,3,1,0.026,0.698,0.619,0.518,,,,,
2017,3,2,0.033,1.259,1.009,0.617,,,,,
2017,4,1,0.412,228.302,148.474,90.741,,,,,
2017,4,2,0.43,237.218,155.802,90.868,,,,,
2017,5,1,0.907,80.734,53.005,29.561,,,,,
2017,5,2,60.873,2962.407,1958.581,983.32,,,,,
2017,6,1,0.211,24.483,12.645,6.568,,,,,
2017,6,2,0.221,37.962,17.007,8.766,,,,,
2017,7,1,0.364,217.64,131.213,85.895,,,,,
2017,7,2,0.492,230.758,139.882,87.537,,,,,
2017,8,1,0.759,324.29,216.286,130.476,,,,,
2017,8,2,0.786,325.875,218.452,131.068,,,,,
2017,9,1,0.253,143.2,93.009,61.926,,,,,
2017,9,2,0.243,145.303,92.837,61.675,,,,,
2017,10,1,0.032,1.267,1.378,0.761,,,,,
2017,10,2,0.093,17.984,9.047,5.006,,,,,
2017,11,1,0.327,206.709,128.096,85.653,,,,,
2017,11,2,0.335,210.754,128.001,85.861,,,,,
2017,12,1,0.62,350.207,220.493,139.558,,,,,
2017,12,2,0.637,351.946,221.276,140.401,,,,,
2017,13,1,0.036,3.473,2.371,1.519,,,,,
2017,13,2,2.703,956.996,688.107,344.804,,,,,
2017,14,1,10.099,855.935,377.901,189.341,,,,,
2017,14,2,10.339,908.77,406.909,204.118,,,,,
2017,15,1,125.834,13121.265,7467.784,3734.432,,,,,
2017,15,2,165.445,9519.799,6100.063,3050.289,,,,,
2017,16,1,0.907,484.776,308.091,192.855,,,,,
2017,16,2,5.198,943.233,586.289,337.944,,,,,
2017,17,1,0.047,2.022,2.186,1.283,,,,,
2017,17,2,0.055,2.759,1.322,1.013,,,,,
2017,18,1,0.052,6.978,4.308,2.625,,,,,
2017,18,2,0.65,77.003,34.641,17.545,,,,,
2017,19,1,0.652,393.879,247.533,163.5,,,,,
2017,19,2,0.649,394.019,246.26,163.079,,,,,
2017,20,1,0.858,487.985,315.804,194.708,,,,,
2017,20,2,1.487,561.401,349.664,209.478,,,,,
2017,21,1,0.086,37.055,22.641,14.98,,,,,
2017,21,2,0.129,38.15,23.87,15.552,,,,,
2017,22,1,0.077,13.889,8.478,5.005,,,,,
2017,22,2,57.809,6581.511,3134.776,1568.657,,,,,
2017,23,1,0.127,12.328,7.772,4.649,,,,,
2017,23,2,0.072,9.56,6.516,3.618,,,,,
2017,24,1,7.324,1266.112,565.683,284.011,,,,,
2017,24,2,7.491,1709.005,876.08,438.993,,,,,
2017,25,1,44.45,2495.805,1084.948,544.702,,,,,
2017,25,2,,,,,,,,,
,,,,,,,,,,,
Year,Day,Part,PC (ms),RP2040 (ms),RP2350 (ms),RP2350 @ 300MHz (ms),,,,,
2018,1,1,0.088,36.543,25.895,14.952,,Min,Max,Avg,Median
2018,1,2,0.103,38.129,25.645,15.529,,4.52,9074.706,687.0477447,318.475
2018,2,1,0.118,66.721,40.648,26.832,,,,,
2018,2,2,0.489,92.902,56.761,35.515,,,,,
2018,3,1,1.923,520.764,362.72,200.898,,,,,
2018,3,2,0.684,298.158,199.27,118.521,,,,,
2018,4,1,0.491,316.023,192.173,128.073,,,,,
2018,4,2,0.502,318.475,193.683,128.697,,,,,
2018,5,1,0.963,490.881,295.206,186.564,,,,,
2018,5,2,1.684,585.284,336.079,215.58,,,,,
2018,6,1,2.939,767.297,413.679,207.787,,,,,
2018,6,2,0.081,24.86,18.199,9.923,,,,,
2018,7,1,0.117,47.334,30.435,20.115,,,,,
2018,7,2,0.104,49.504,30.501,20.3,,,,,
2018,8,1,0.611,332.75,222.183,129.806,,,,,
2018,8,2,0.635,331.974,222.404,125.976,,,,,
2018,9,1,0.204,85.44,25.37,13.08,,,,,
2018,9,2,10.36,,3456.051,1772.943,,,,,
2018,10,1,0.758,153.337,99.919,65.129,,,,,
2018,10,2,0.251,145.37,91.218,57.85,,,,,
2018,11,1,0.496,168.236,76.766,38.669,,,,,
2018,11,2,2.397,588.337,322.005,161.763,,,,,
2018,12,1,0.12,28.763,15.236,8.054,,,,,
2018,12,2,2.04,350.656,198.441,99.634,,,,,
2018,13,1,0.575,264.045,161.535,97.264,,,,,
2018,13,2,2.668,582.302,333.811,189.996,,,,,
2018,14,1,4.245,790.669,244.708,123.296,,,,,
2018,14,2,108.508,,8278.988,4155.5,,,,,
2018,15,1,8.407,1016.329,591.093,297.215,,,,,
2018,15,2,38.65,4317.628,2477.208,1240.677,,,,,
2018,16,1,0.871,555.631,341.675,198.15,,,,,
2018,16,2,1.032,571.824,351.146,199.369,,,,,
2018,17,1,4.268,998.641,630.684,352.873,,,,,
2018,17,2,4.332,1000.432,631.858,352.869,,,,,
2018,18,1,0.881,189.038,113.328,59.218,,,,,
2018,18,2,25.068,9074.706,5410.128,2707.95,,,,,
2018,19,1,56.446,2329.59,1258.546,630.138,,,,,
2018,19,2,0.043,7.15,4.344,2.431,,,,,
2018,20,1,0.334,144.538,87.842,57.91,,,,,
2018,20,2,0.349,148.224,88.83,57.876,,,,,
2018,21,1,0.045,4.52,3.187,1.925,,,,,
2018,21,2,0.077,8.564,5.728,3.125,,,,,
2018,22,1,0.071,7.671,3.796,1.96,,,,,
2018,22,2,3.729,331.511,174.963,87.618,,,,,
2018,23,1,0.73,443.736,303.67,177.386,,,,,
2018,23,2,1.357,480.574,334.705,187.345,,,,,
2018,24,1,0.708,172.865,91.621,47.987,,,,,
2018,24,2,12.427,2206.518,1165.28,585.335,,,,,
2018,25,1,1.832,806.8,493.744,253.886,,,,,
2018,25,2,,,,,,,,,
